,bleu,precisions,brevity_penalty,length_ratio,translation_length,reference_length,id,file
5_14,0.0,"[0.34782608695652173, 0.0, 0.0, 0.0]",0.8777137332821822,0.8846153846153846,23,26,5_14,5
6_0,0.0,"[0.36046511627906974, 0.03529411764705882, 0.0, 0.0]",0.4641990366359164,0.5657894736842105,86,152,6_0,6
6_1,0.0,"[0.0, 0.0, 0.0, 0.0]",1.0,83.0,83,1,6_1,6
6_2,0.0,"[0.65, 0.2631578947368421, 0.05555555555555555, 0.0]",0.951229424500714,0.9523809523809523,20,21,6_2,6
6_3,0.0,"[0.3125, 0.13333333333333333, 0.0, 0.0]",0.7316156289466418,0.7619047619047619,16,21,6_3,6
6_4,0.0,"[0.36363636363636365, 0.1, 0.0, 0.0]",0.7613003866968737,0.7857142857142857,11,14,6_4,6
6_5,0.0,"[0.4166666666666667, 0.18181818181818182, 0.1, 0.0]",0.6592406302004439,0.7058823529411765,12,17,6_5,6
6_6,0.0,"[0.5, 0.2857142857142857, 0.16666666666666666, 0.0]",1.0,1.1428571428571428,8,7,6_6,6
6_7,0.0,"[0.46153846153846156, 0.25, 0.09090909090909091, 0.0]",0.5404329964865341,0.6190476190476191,13,21,6_7,6
6_8,0.0,"[0.6666666666666666, 0.4, 0.0, 0.0]",0.846481724890614,0.8571428571428571,6,7,6_8,6
6_9,0.0,"[0.5714285714285714, 0.3333333333333333, 0.0, 0.0]",0.8668778997501817,0.875,7,8,6_9,6
6_10,0.0,"[0.3333333333333333, 0.0, 0.0, 0.0]",0.5866462195100318,0.6521739130434783,15,23,6_10,6
6_11,0.0,"[0.2631578947368421, 0.1111111111111111, 0.058823529411764705, 0.0]",1.0,1.0,19,19,6_11,6
6_12,0.0,"[0.6428571428571429, 0.23076923076923078, 0.08333333333333333, 0.0]",0.8071177470053892,0.8235294117647058,14,17,6_12,6
6_13,0.3155984539112945,"[0.5555555555555556, 0.375, 0.2857142857142857, 0.16666666666666666]",1.0,1.2857142857142858,9,7,6_13,6
6_14,0.0,"[0.25, 0.13333333333333333, 0.07142857142857142, 0.0]",0.7316156289466418,0.7619047619047619,16,21,6_14,6
7_0,0.0,"[0.35443037974683544, 0.038461538461538464, 0.0, 0.0]",0.3969080517068859,0.5197368421052632,79,152,7_0,7
7_1,0.0,"[0.2857142857142857, 0.16666666666666666, 0.0, 0.0]",1.0,1.1666666666666667,7,6,7_1,7
7_2,0.0,"[0.3076923076923077, 0.16, 0.041666666666666664, 0.0]",0.9622687143632572,0.9629629629629629,26,27,7_2,7
7_3,0.0,"[0.2, 0.0, 0.0, 0.0]",0.6703200460356393,0.7142857142857143,5,7,7_3,7
7_4,0.0,"[0.45, 0.21052631578947367, 0.1111111111111111, 0.0]",0.9048374180359595,0.9090909090909091,20,22,7_4,7
7_5,0.0,"[0.5, 0.2, 0.0, 0.0]",0.846481724890614,0.8571428571428571,6,7,7_5,7
7_6,0.5873949094699213,"[0.6666666666666666, 0.625, 0.5714285714285714, 0.5]",1.0,1.125,9,8,7_6,7
7_7,0.0,"[0.4, 0.0, 0.0, 0.0]",0.8187307530779819,0.8333333333333334,5,6,7_7,7
7_8,0.0,"[0.42857142857142855, 0.1, 0.0, 0.0]",1.0,1.0,21,21,7_8,7
7_9,0.0,"[0.3333333333333333, 0.2, 0.0, 0.0]",0.846481724890614,0.8571428571428571,6,7,7_9,7
7_10,0.0,"[0.0, 0.0, 0.0, 0.0]",0.846481724890614,0.8571428571428571,6,7,7_10,7
7_11,0.0,"[0.0, 0.0, 0.0, 0.0]",0.846481724890614,0.8571428571428571,6,7,7_11,7
